"구분(1)",구분(2),구분(3),구분(4),2023.07,2023.08,2023.09,2023.10,2023.11,2023.12
"도시대기",서울,중구,중구,22,18,16,23,26,32
"도시대기",서울,종로구,종로구,25,20,19,27,30,37
"도시대기",서울,중랑구,중랑구,28,22,22,26,27,30
"도시대기",서울,동대문구,동대문구,30,23,23,30,32,37
"도시대기",서울,은평구,은평구,28*,20,17,26,29,34
"도시대기",서울,마포구,마포구,26,22,23,29,29,34
"도시대기",서울,영등포구,영등포구,26,22,21,28,29,34
"도시대기",서울,동작구,동작구,26,22,22,27,30,37
"도시대기",서울,관악구,관악구,30,26,25,33,33,40
"도시대기",서울,강남구,강남구,27,23,21,28,30,35
"도시대기",서울,금천구,금천구,29,22,21,28,30,36
"도시대기",서울,강동구,강동구,25,21,23*,34,32,36
"도시대기",서울,강북구,강북구,31,23,20,24,28,34
"도시대기",서울,성북구,성북구,22,18,18,30,31,36
"도시대기",서울,용산구,용산구,28,24,23,30,30,35
"도시대기",서울,광진구,광진구,27,22,22,26,28,31
"도시대기",서울,성동구,성동구,26,21,20,27,30,35
"도시대기",서울,도봉구,도봉구,22,16,17,25,29,34
"도시대기",서울,서대문구,서대문구,22,17,16,26,28,34
"도시대기",서울,구로구,구로구,21,17,18,28,30,40
"도시대기",서울,서초구,서초구,27,21,21,34,39,41
"도시대기",서울,강서구,강서구,27,23,21,29,32,39
"도시대기",서울,송파구,송파구,29,24,23,30,31,35
"도시대기",서울,양천구,양천구,28,22,21,30,32,39
"도시대기",서울,노원구,노원구,27,21,20,27,30,39
"도시대기",부산,중구,광복동,18,15,11,19,21,28
"도시대기",부산,남구,대연동,21,20,18,24,25,30
"도시대기",부산,남구,용호동,17,16,16,23,23,29
"도시대기",부산,사상구,학장동,25,21,20,30,36,41
"도시대기",부산,사상구,덕포동,21,18,19,28,30,36
"도시대기",부산,북구,덕천동,21,18,17,25,28,34
"도시대기",부산,북구,화명동,15,11,15,24,25,32
"도시대기",부산,사하구,장림동,22,21,19,31,32,35
"도시대기",부산,사하구,당리동,20,18,19,27,28,33
"도시대기",부산,부산진구,전포동,20,18,17,28,29,37
"도시대기",부산,부산진구,개금동,20,19,21,31,32,37
"도시대기",부산,연제구,연산동,17,14,14,23,24,32
"도시대기",부산,영도구,태종대,14,13,12,20,21,27
"도시대기",부산,영도구,청학동,16,15,15,21,21,26
"도시대기",부산,금정구,청룡동,17,14,14,20,21,27
"도시대기",부산,금정구,부곡동,18,17,15,21,22,28
"도시대기",부산,금정구,회동동,17,14,14,21,25,30
"도시대기",부산,해운대구,좌동,16,14,14,20,20,28
"도시대기",부산,해운대구,재송동,21,16,15,23,24,30
"도시대기",부산,강서구,대저동,20,17,17,25,26,33
"도시대기",부산,강서구,녹산동,22,22,18,25,29,32
"도시대기",부산,강서구,명지동,19,18,19,29,31,35
"도시대기",부산,기장군,기장읍,18,17,17,21,21,27
"도시대기",부산,기장군,용수리,18,15,15,20,21,27
"도시대기",부산,수영구,광안동,19,16,18,27,27,30
"도시대기",부산,동래구,명장동,16,15,15,22,23,29
"도시대기",부산,동구,수정동,20,17,15,21,22,28
"도시대기",부산,서구,대신동,23,16,17,24,23,31
"도시대기",대구,군위군,군위군,15,14,13,19,26,32
"도시대기",대구,중구,수창동,23,18,18,30,33,38
"도시대기",대구,중구,남산1동,24,20,20,29,33,42
"도시대기",대구,서구,이현동,25,19,19,29,31,37
"도시대기",대구,서구,내당동,24,19,20,31,33,40
"도시대기",대구,남구,대명동,21,16,18,30,31,38
"도시대기",대구,북구,태전동,25,17,13,-,-,-
"도시대기",대구,북구,산격동,26,20,18,26,29,36
"도시대기",대구,북구,침산동,23,18,19,29,31,37
"도시대기",대구,동구,신암동,23,18,17,26,28,34
"도시대기",대구,동구,서호동,27,17,16,26,31,39
"도시대기",대구,수성구,만촌동,24,17,17,29,35,41
"도시대기",대구,수성구,지산동,21,12,12,21,26,33
"도시대기",대구,수성구,시지동,24,19,19,27,29,35
"도시대기",대구,달서구,호림동,23,19,19,27,29,35
"도시대기",대구,달서구,진천동,24,18,21,30,32,38
"도시대기",대구,달서구,본동,24,18,20,32,35,42
"도시대기",대구,달성군,유가읍,25,19,18,24,27,36
"도시대기",대구,달성군,다사읍,25,19,19**,28*,26,32
"도시대기",대구,달성군,화원읍,21,15,18,23,27,33
"도시대기",인천,중구,신흥,26,22,23,32,32,39
"도시대기",인천,중구,운서,29,24,23,30,33,37
"도시대기",인천,중구,영종,27,24,23,31,33,38
"도시대기",인천,동구,송림,-,-,20**,34,40,48
"도시대기",인천,남동구,구월동,25,23,25,35,37,44
